Chinese,Pinyin,English,Russian
啊,a,auxiliary word,вспомогательное слово
爱情,àiqíng,Love,Любовь
爱人,ài rén,lover,любовник
安静,ānjìng,Be quiet,Потише
安全,ānquán,security,Безопасность
白色,bái sè,white,белый
班长,bān zhǎng,monitor; squad leader,монитор; командир отряда
办,bàn,do,do
办法,bànfǎ,Way,Воздушный поток
办公室,bàngōngshì,Office,офис
半夜,bàn yè,midnight,полночь
帮助,bāngzhù,Help,Помощь
饱,bǎo,full,полный
报名,bàomíng,sign up,регистрация
报纸,bàozhǐ,Newspaper,Газета
北方,běifāng,north,север
比如,bǐrú,such as,как
比如说,bǐ rú shuō,for example,например
笔,bǐ,pen,Соответствует
笔记,bǐ jì,note; notes,примечание; примечания
笔记本,bǐjìběn,Notebook,Блокнот
必须,bìxū,Must,Должен
边,biān,side,сторона
变,biàn,change,заменить
变成,biàn chéng,become; change into,стать; измениться на
遍,biàn,Times,Количество раз
表,biǎo,watch,Люблю ее ноги
表示,biǎoshì,Express,Экспресс-доставка
不错,bú cuò,not bad; pretty good,неплохо; довольно хорошо
不但,bú dàn,not only,А⁠НЕ⁠ТОЛЬКО⁠ДЛЯ
不够,bú gòu,not enough,недостаточным
不过,búguò,However,Однако
不太,bú tài,not too; not very much,не слишком; не очень
不要,bú yào,don't,не
不好意思,bù hǎo yì sī,sorry; feel embarrassed,извините; стесняйтесь
不久,bù jiǔ,soon,скоро
不满,bù mǎn,dissatisfied,не удовлетворен (-а)
不如,bùrú,not as good as,"не так хорошо, как"
不少,bù shǎo,not a few; a lot,не мало; много
不同,bù tóng,different,разный
不行,bù xíng,no way; be out of the question,ни в коем случае; быть вне вопроса
不一定,bù yī dìng,not necessarily; uncertain,не обязательно; неясно
不一会儿,bù yī huìr,in a moment; in a little while;  soon,через мгновение; через некоторое время;  скоро
部分,bùfen,Part,Деталь
菜单,càidān,menu,menu
参观,cānguān,visit,посещать 
参加,cānjiā,participate in,участвовать в
草,cǎo,grass,трава
草地,cǎo dì,grass; lawn,трава; газон
层,céng,layer,слой
查,chá,search; check,поиск; проверка
差不多,chàbuduō,Almost,Почти
长,cháng,long,длинный
常见,cháng jiàn,common,обычный
常用,cháng yòng,in common use,в общем пользовании
场,chǎng,site,производственный объект
超过,chāoguò,Exceed,Сверхлюди
超市,chāoshì,Supermarket,Супермакета
车辆,chē liàng,car; vehicle,автомобиль; транспортное средство
成绩,chéngjì,achievement,достижение
成为,chéngwéi,Become,Становиться
重复,chóngfù,repeat,повторить
重新,chóngxīn,again,снова
出发,chūfā,Set out,Изложите
出国,chū guó,go abroad,ехать за границу
出门,chū mén,go out,выходить
出生,chūshēng,Birth,Рождение
出现,chūxiàn,Appear,Появление
出院,chū yuàn,discharged; leave hospital,выписан; выписан из больницы
出租,chū zū,rent,сдать или снять
出租车,chūzūchē,Taxi,Такси
船,chuán,ship,корабль
吹,chuī,blow,ударять
春节,chūn jié,Spring Festival; Chinese New  Year,Праздник весны; китайский Новый  год
春天,chūn tiān,spring,весна
词,cí,word,слово
词典,cídiǎn,Dictionary,Словарь
词语,cíyǔ,terms,условия
从小,cóng xiǎo,from childhood,С детства.
答应,dāying,promise,обещать
打工,dǎgōng,Work,Труд
打算,dǎsuàn,Plan,План
打印,dǎyìn,Print,Печать
大部分,dà bù fèn,most,большинство
大大,dà dà,greatly; enormously,очень; чрезвычайно
大多数,dà duō shù,most; great majority,большинство; подавляющее большинство
大海,dà hǎi,sea,море
大家,dàjiā,everybody,все
大量,dà liàng,a lot of; lots of,много; много
大门,dà mén,door; gate,дверь; ворота
